fullName,position,origin,destination
Dekel Crowdus,WR,Hawai'i,Wisconsin
Roy Alexander,WR,Incarnate Word,Texas Tech
Keyan Burnett,TE,Kansas,Arizona
Corey Smith,WR,Tulsa,Purdue
Jarod Bowie,WR,Jacksonville State,West Virginia
Jaidyn Doss,WR,Nebraska,Kansas
Jacob Stewart,TE,San José State,Louisville
Larry Simmons,WR,Southern Miss,Utah
Andy Jean,WR,Pittsburgh,Arkansas
Jayden Dixon-Veal,WR,Purdue,California
Dane Pardridge,WR,Northern Illinois,Rutgers
Johntay Cook II,WR,Washington,Syracuse
Mark Hamper,WR,Wisconsin,California
Justin Smith-Brown,WR,South Carolina State,West Virginia
Boden Groen,TE,Rice,Kansas
Micah Hudson,WR,Texas A&M,Texas Tech
Jonathan Brady,WR,California,Indiana
Hykeem Williams,WR,Florida State,Colorado
Jack Hestera,WR,Utah State,Colorado
Jake Renda,TE,Pittsburgh,UCLA
Keayen Nead,TE,New Mexico,BYU
Shamar Easter,TE,Arkansas,North Carolina
Louis Brown IV,WR,Colorado State,Baylor
Carson Su'esu'e,TE,BYU,Oklahoma State
Yamir Knight,WR,James Madison,SMU
Isaiah Spencer,WR,Jackson State,Virginia Tech
Rahkeem Smith,WR,Bowling Green,Georgia Tech
Logan Ramper,WR,Slippery Rock,West Virginia
TreyShun Hurry,WR,San José State,Louisville
Jordan Owens,TE,Oklahoma State,North Carolina
Quaron Adams,WR,South Dakota,California
Grayson Barnes,TE,Northern Illinois,West Virginia
Karate Brenson,WR,Tennessee State,Wake Forest
Zacharyus Williams,WR,Utah,USC
Ryne Shackelford,WR,Purdue,Baylor
Will Loerzel,TE,South Alabama,Wake Forest
Christian Abney,TE,Ball State,Illinois
Landen King,TE,Utah,Duke
Akim Lanieux,WR,Northern Illinois,Arizona State
Jordan Scott,WR,Florida State,Maryland
Max Drag,TE,App State,UCF
Gavin Blackwell,WR,North Carolina,Florida State
Cooper Barkate,WR,Harvard,Duke
Christian Moore,TE,UNLV,Purdue
Mike Peterson Jr.,WR,Arkansas State,Florida
Colin Weber,TE,Charlotte,Rutgers
Kade Eldridge,TE,USC,Washington
Khamari Anderson,TE,Kentucky,Arizona State
Justin Bowick,WR,Ball State,Illinois
Noah Thomas,WR,Texas A&M,Georgia
Max Klare,TE,Purdue,Ohio State
Henry Boyer,TE,Illinois,Kentucky
Christian Hamilton,WR,North Carolina,West Virginia
Troy Stellato,WR,Clemson,Kentucky
Logan Loya,WR,UCLA,Minnesota
Dane Key,WR,Kentucky,Nebraska
Ashton Cozart,WR,SMU,Kentucky
Tobias Merriweather,WR,California,Utah
Dacari Collins,WR,NC State,Louisville
Peter Knudson,TE,Weber State,Alabama
Tyler Kirkwood,WR,Southern,Baylor
Connor Cox,TE,South Carolina,North Carolina
Tiger Bachmeier,WR,Stanford,BYU
Justin Holmes,TE,Marshall,Pittsburgh
Jack Sammarco,TE,West Virginia,Alabama
Will Huggins,TE,Pittsburg St,Oklahoma
Chris Domercant,WR,Chattanooga,UCF
Deuce Spann,WR,Florida State,Pittsburgh
Dylan Goffney,WR,Colorado State,SMU
Eni Falayi,TE,Utah Tech,Wake Forest
Landon Morris,TE,Temple,California
Evan Haynes,WR,North Carolina,Georgia Tech
Nathan Leacock,WR,Purdue,North Carolina
David Washington,WR,Utah,Purdue
Rico Walker,TE,Auburn,Purdue
Dayton Sneed,WR,Tennessee,North Carolina
Grayson Brousseau,TE,Utah State,Oklahoma State
Ian Flynt,TE,Nebraska,NC State
Jer'Michael Carter,WR,McNeese,Oklahoma
Lance Mason,TE,Missouri State,Wisconsin
Terrill Davis,WR,Central Oklahoma,Oklahoma State
Nitro Tuggle,WR,Georgia,Purdue
Davon Mitchell,TE,Oklahoma,Louisville
KC Concepcion,WR,NC State,Texas A&M
Jaedon Wilson,WR,Arkansas,UCLA
Ty Washington,TE,Arkansas,Notre Dame
Bobby Golden,WR,Akron,Louisville
Horatio Fields,WR,Wake Forest,Auburn
Jalen Brown,WR,Florida State,Arkansas
Micah Riley,TE,Auburn,Texas A&M
Carson Kent,TE,Kennesaw State,Oklahoma
Zachariah Branch,WR,USC,Georgia
Trebor Pena,WR,Syracuse,Penn State
Jordan McCants,WR,Jacksonville State,West Virginia
Jaren Hamilton,WR,Alabama,Arizona State
Max Reese,TE,Eastern Michigan,Mississippi State
Ryan Ward,TE,North Carolina,West Virginia
Jamari Johnson,TE,Louisville,Oregon
Jeff Weimer,WR,Idaho State,West Virginia
Tony Johnson,WR,Cincinnati,Miami
Preston Howard,TE,Maryland,Auburn
Jordan Dwyer,WR,Idaho,TCU
Keelan Marion,WR,BYU,Miami
Shamar Rigby,WR,Purdue,Oklahoma State
Jack Endries,TE,California,Texas
Cam Thompson,WR,Northern Illinois,Mississippi State
Deuce Alexander,WR,Wake Forest,Ole Miss
Jalil Farooq,WR,Oklahoma,Maryland
Nic Anderson,WR,Oklahoma,LSU
Michael Jackson III,WR,Georgia,Purdue
Cam Abshire,WR,Emory & Henry College,Oklahoma State
Tyshawn Russell,WR,South Carolina,Syracuse
Elijah Brown,TE,UCF,Kentucky
Isaiah Johnson,WR,Western Carolina,Cincinnati
Randy Pittman Jr.,TE,UCF,Florida State
Kole Wilson,WR,Texas State,Baylor
Kam Shanks,WR,UAB,Arkansas
Jeff Caldwell,WR,Lindenwood,Cincinnati
Will Monney,TE,Utah State,Oklahoma State
Patrick Gurd,TE,Ohio State,Cincinnati
DJ Black,WR,Limestone University,UCF
Omari Evans,WR,Penn State,Washington
Ka'Morreun Pimpton,TE,LSU,TCU
Debron Gatling,WR,South Carolina,Georgia Tech
Rohan Jones,TE,Montana State,Arkansas
Javin Whatley,WR,Chattanooga,Arizona
Javian Hester,WR,Oklahoma,Kentucky
Amare Thomas,WR,UAB,Houston
Reggie Virgil,WR,Miami (OH),Texas Tech
Jordan Dingle,TE,Kentucky,South Carolina
JV Gibson,WR,Arkansas-Pine Bluff,Oklahoma
Drew Biber,TE,Purdue,Minnesota
Sincere Brown,WR,Campbell,Colorado
Jerand Bradley,WR,Boston College,Kansas State
Cyrus Allen,WR,Texas A&M,Cincinnati
Tristan Smith,WR,Southeast Missouri State,Clemson
Luke McGary,TE,Tulsa,Houston
Chrishon McCray,WR,Kent State,Michigan State
Zeke Moore,TE,Florida Atlantic,Boston College
Barion Brown,WR,Kentucky,LSU
Xavier Townsend,WR,UCF,Iowa State
Chase Sowell,WR,East Carolina,Iowa State
Luke Wysong,WR,New Mexico,Arizona
Courtney Crutchfield,WR,Missouri,Arkansas
Kaleb Webb,WR,Tennessee,Maryland
Zach Atkins,TE,Northwest Missouri St,Colorado
David Pantelis,WR,Yale,Stanford
Cam Vaughn,WR,Jacksonville State,West Virginia
Tre Richardson,WR,Washburn,Vanderbilt
Malachi Coleman,WR,Nebraska,Minnesota
Creed Whittemore,WR,Mississippi State,Utah
Jonah Wilson,WR,Houston,Texas A&M
Amari Jefferson,WR,Alabama,Tennessee
Ric'Darious Farmer,WR,West Virginia,UCF
Gavin Hoffman,TE,Iowa,Missouri
Dazmin James,WR,Arkansas,California
Ayden Williams,WR,Ole Miss,Mississippi State
Luca Puccinelli,TE,Wake Forest,Purdue
Tru Edwards,WR,Louisiana Tech,Kentucky
Jordan Onovughe,WR,Colorado,Stanford
RJ Vick,WR,Virginia Union,Wake Forest
Kendrick Law,WR,Alabama,Kentucky
Dylan Wade,TE,Maryland,UCF
Dean Patterson,WR,Florida International,Georgia Tech
Cyrus Traugh,WR,Youngstown State,West Virginia
Isaiah Horton,WR,Miami,Alabama
J.T. Byrne,TE,California,Georgia Tech
Bryson Canty,WR,Columbia,Kansas
Prince Strachan,WR,Boise State,USC
Caleb Odom,WR,Alabama,Ole Miss
Jalen Moss,WR,Fresno State,Arizona State
Destyn Hill,WR,Florida State,LSU
Jacob Barrick,TE,Jacksonville State,West Virginia
CJ Jacobsen,TE,Utah,Louisville
Brody Dalton,TE,Troy,Alabama
Griffin Wilde,WR,South Dakota State,Northwestern
Sam West,TE,Indiana,Mississippi State
Mason Mini,TE,Idaho,California
Alex Lines,TE,New Mexico State,Northwestern
Emmett Mosley V,WR,Stanford,Texas
Jack Nickel,TE,UAB,Miami
Javon Tracy,WR,Miami (OH),Minnesota
Donovan Green,TE,Texas A&M,LSU
Cam Pickett,WR,Ball State,Kansas
Noble Johnson,WR,Clemson,Arizona State
Sawyer Racanelli,WR,Montana,Wake Forest
Harvey Broussard III,WR,Louisiana,Houston
Oran Singleton Jr.,WR,Eastern Michigan,West Virginia
Hudson Clement,WR,West Virginia,Illinois
Brendan Doyle,TE,Memphis,Stanford
Harry Lodge,TE,Georgia Tech,Wake Forest
Davin Stoffel,TE,South Dakota State,Illinois
Tyler Morris,WR,Michigan,Indiana
Will Pauling,WR,Wisconsin,Notre Dame
Jaden Platt,TE,Texas A&M,Arkansas
EJ Horton Jr.,WR,Florida Atlantic,Purdue
Hardley Gilmore IV,WR,Nebraska,Kentucky
Kobe Prentice,WR,Alabama,Baylor
Christian Earls,TE,UNLV,Purdue
Justin Stevenson,WR,Wyoming,Utah
Eric Singleton Jr.,WR,Georgia Tech,Auburn
John Locke Jr.,TE,Louisiana Tech,Oklahoma
Ty Lockwood,TE,Alabama,Boston College
Eric Rivers,WR,Florida International,Georgia Tech
Joseph Manjack IV,WR,Houston,TCU
Tre Spivey,WR,Kansas State,Arizona
Mario Craver,WR,Mississippi State,Texas A&M
Caleb Medford,WR,New Mexico,Kansas State
Jason Robinson Jr.,WR,Washington,North Carolina
J. Michael Sturdivant,WR,UCLA,Florida
Malachi Fields,WR,Virginia,Notre Dame
Traylon Ray,WR,West Virginia,Ole Miss
Nate Boerkircher,TE,Nebraska,Texas A&M
Vince Brown II,TE,Colorado State,Missouri
Amari Niblack,TE,Texas,Texas A&M
Jayden Ballard,WR,Ohio State,Wisconsin
Jayden Thomas,WR,Notre Dame,Virginia
Cameron Barmore,WR,Mercyhurst College,Arizona
Dorian Fleming,TE,Georgia State,Maryland
Carsen Ryan,TE,Utah,BYU
Marcus Burke,WR,Florida,UCF
VJ Wilkins,WR,Campbell,Boston College
Tanner Koziol,TE,Wisconsin,Houston
Jaron Tibbs,WR,Purdue,Kansas State
Donaven McCulley,WR,Indiana,Michigan
Duane Thomas Jr.,WR,Charlotte,UCF
Kyron Hudson,WR,USC,Penn State
Chance Fitzgerald,WR,Virginia Tech,Vanderbilt
Anthony Evans III,WR,Georgia,Mississippi State
Joseph Williams,WR,Tulsa,Colorado
Riley Nowakowski,TE,Wisconsin,Indiana
Devonte Ross,WR,Hudson Valley,Penn State
Holden Staes,TE,Tennessee,Indiana
CJ Daniels,WR,LSU,Miami
Mikey Matthews,WR,California,UCLA
Nyziah Hunter,WR,California,Nebraska
Rodney Bullard Jr.,WR,Valdosta State,Michigan State
Emmanuel Henderson Jr.,WR,Alabama,Kansas
Squirrel White,WR,Tennessee,Florida State
Kamrean Johnson,TE,Vanderbilt,Wake Forest
Sam Phillips,WR,Chattanooga,Iowa
Jaron Glover,WR,Michigan State,Mississippi State
Kaedin Robinson,WR,App State,UCLA
Makai Jackson,WR,App State,Indiana
Brenen Thompson,WR,Oklahoma,Mississippi State
Josiah Martin,WR,California,Oklahoma
Chase Farrell,WR,Stanford,Northwestern
Bauer Sharp,TE,Oklahoma,LSU
Andrel Anthony,WR,Oklahoma,Duke
Ismael Cisse,WR,Stanford,Arkansas
Jaylen Lloyd,WR,Nebraska,Oklahoma State
Isaiah Sategna III,WR,Arkansas,Oklahoma
Caleb Goodie,WR,Colorado State,Cincinnati
Otto Tia,WR,Utah State,Utah
Malik Benson,WR,Florida State,Oregon
Adrian Wilson,WR,Colorado,North Carolina
Chris Barnes,WR,Washington State,Wake Forest
Trace Bruckler,TE,New Mexico,Ole Miss
CJ Williams,WR,Wisconsin,Stanford
Levi Wentz,WR,Albany,Kansas
Aziah Johnson,WR,Michigan State,North Carolina
Terrance McWilliams Jr.,WR,Minnesota,Louisville
Cody Hardy,TE,Elon,NC State
Duce Robinson,WR,USC,Florida State
Terrance Carter Jr.,TE,Louisiana,Texas Tech
Luke Hasz,TE,Arkansas,Ole Miss
Chauncey Magwood,WR,UCF,Purdue
Christian Fitzpatrick,WR,Marshall,Oklahoma State
Kevin Coleman Jr.,WR,Mississippi State,Missouri
Donavon Greene,WR,Wake Forest,Virginia Tech
Evan Boyd,WR,Central Michigan,Michigan State
Carlos Hernandez,WR,Washington State,Wake Forest
Micah Bell,WR,Vanderbilt,Georgia
Caden High,WR,South Carolina State,Stanford
Raylen Sharpe,WR,Fresno State,Arkansas
Alex Bauman,TE,Tulane,Miami
Markus Allen,WR,Eastern Michigan,Mississippi State
Sam Jackson V,WR,Auburn,Oklahoma State
Trent Hudson,WR,Mississippi State,Vanderbilt
Cataurus Hicks,WR,Louisville,Pittsburgh
Kris Hutson,WR,Washington State,Arizona
Keontez Lewis,WR,Southern Illinois,Oklahoma
Jacob De Jesus,WR,UNLV,California
Harrison Wallace III,WR,Penn State,Ole Miss
O'Mega Blake,WR,Charlotte,Arkansas
Oscar Hammond,TE,North Texas,Oklahoma State
Charles Ross,WR,USC,Purdue
DT Sheffield,WR,North Texas,Rutgers
Cam Ross,WR,James Madison,Virginia
De'Zhaun Stribling,WR,Oklahoma State,Ole Miss
Jahmal Edrine,WR,Purdue,Virginia
Sterling Berkhalter,WR,Cincinnati,Wake Forest
Omari Kelly,WR,Middle Tennessee,Michigan State
Anthony Simpson,WR,Massachusetts,Michigan
Xavier Loyd,WR,Illinois State,Missouri
Kai Rios,TE,Indiana State,Michigan State
